__mocks__/react-native.ts(23,38): error TS7006: Parameter 'obj' implicitly has an 'any' type.
src/components/Themed.tsx(24,26): error TS7053: Element implicitly has an 'any' type because expression of type 'ColorSchemeName' can't be used to index type '{ light?: string | undefined; dark?: string | undefined; }'.
  Property 'unspecified' does not exist on type '{ light?: string | undefined; dark?: string | undefined; }'.
src/components/Themed.tsx(29,12): error TS7053: Element implicitly has an 'any' type because expression of type 'ColorSchemeName' can't be used to index type '{ light: { text: string; background: string; tint: string; tabIconDefault: string; tabIconSelected: string; }; dark: { text: string; background: string; tint: string; tabIconDefault: string; tabIconSelected: string; }; ... 8 more ...; gradients: { ...; }; }'.
  Property 'unspecified' does not exist on type '{ light: { text: string; background: string; tint: string; tabIconDefault: string; tabIconSelected: string; }; dark: { text: string; background: string; tint: string; tabIconDefault: string; tabIconSelected: string; }; ... 8 more ...; gradients: { ...; }; }'.
src/modules/ai/index.ts(8,8): error TS2307: Cannot find module './services/CoPilotService' or its corresponding type declarations.
src/modules/nutrition/components/FoodSearchModal.tsx(59,9): error TS2322: Type '{ onSelect: (food: FoodItem, quantity?: number | undefined) => void; onClose: () => void; mealId: string | undefined; initialData: { name: string; time: string; type: string; order: number; } | undefined; onSave: ((items: { ...; }[]) => Promise<...>) | undefined; dailyTotals: { ...; } | undefined; mealTime: string |...' is not assignable to type 'IntrinsicAttributes & FoodSearchScreenProps'.
  Property 'dailyTotals' does not exist on type 'IntrinsicAttributes & FoodSearchScreenProps'.
src/modules/nutrition/store/__tests__/nutritionSubstitution.test.ts(82,12): error TS18048: 'log.actual_items' is possibly 'undefined'.
src/modules/workout/components/EditExerciseModal.tsx(48,26): error TS18047: 'item' is possibly 'null'.
src/modules/workout/components/EditExerciseModal.tsx(48,52): error TS18047: 'item' is possibly 'null'.
src/modules/workout/components/EditExerciseModal.tsx(48,63): error TS18047: 'item' is possibly 'null'.
src/modules/workout/components/EditExerciseModal.tsx(48,79): error TS18047: 'item' is possibly 'null'.
src/modules/workout/hooks/useWorkoutTimer.ts(86,7): error TS2322: Type 'Timeout' is not assignable to type 'number'.
src/modules/workout/store/__tests__/workoutStore.test.ts(54,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(71,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(84,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(104,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(131,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(135,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(158,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(162,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(189,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(214,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(221,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(278,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(300,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(304,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(305,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(320,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(360,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(380,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(401,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(422,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(449,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(472,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(507,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(536,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(555,19): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(562,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(563,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(574,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(585,25): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(591,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(610,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(632,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(652,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(672,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
src/modules/workout/store/__tests__/workoutStore.test.ts(693,18): error TS2339: Property 'from' does not exist on type 'Mock<any, any, any>'.
